bioguide,twitter,name,first,last,gender,birthday,source,congress,chamber,state,district,senate_class,party,term_start,term_end,congress_start,congress_end,overlap_start,overlap_end
B001267,SenatorBennet,Michael F. Bennet,Michael,Bennet,M,1964-11-28,current,116,senate,CO,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000562,,Cory Gardner,Cory,Gardner,M,1974-08-22,historical,116,senate,CO,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001277,SenBlumenthal,Richard Blumenthal,Richard,Blumenthal,M,1946-02-13,current,116,senate,CT,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001169,SenMurphyOffice,Christopher Murphy,Christopher,Murphy,M,1973-08-03,current,116,senate,CT,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C000174,,Thomas R. Carper,Thomas,Carper,M,1947-01-23,historical,116,senate,DE,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001088,ChrisCoons,Christopher A. Coons,Christopher,Coons,M,1963-09-09,current,116,senate,DE,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000595,,Marco Rubio,Marco,Rubio,M,1971-05-28,historical,116,senate,FL,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001217,SenRickScott,Rick Scott,Rick,Scott,M,1952-12-01,current,116,senate,FL,,1,Republican,2019-01-08,2025-01-03,2019-01-03,2021-01-03,2019-01-08,2021-01-03
I000055,,Johnny Isakson,John,Isakson,M,1944-12-28,historical,116,senate,GA,,3,Republican,2017-01-03,2019-12-31,2019-01-03,2021-01-03,2019-01-03,2019-12-31
L000594,,Kelly Loeffler,Kelly,Loeffler,F,1970-11-27,historical,116,senate,GA,,3,Republican,2020-01-06,2021-01-20,2019-01-03,2021-01-03,2020-01-06,2021-01-03
P000612,,David Perdue,David,Perdue,M,1949-12-10,historical,116,senate,GA,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001042,MazieHirono,Mazie K. Hirono,Mazie,Hirono,F,1947-11-03,current,116,senate,HI,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001194,SenBrianSchatz,Brian Schatz,Brian,Schatz,M,1972-10-20,current,116,senate,HI,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
E000295,SenJoniErnst,Joni Ernst,Joni,Ernst,F,1970-07-01,current,116,senate,IA,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000386,ChuckGrassley,Chuck Grassley,Charles,Grassley,M,1933-09-17,current,116,senate,IA,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C000880,MikeCrapo,Mike Crapo,Michael,Crapo,M,1951-05-20,current,116,senate,ID,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000584,SenatorRisch,James E. Risch,James,Risch,M,1943-05-03,current,116,senate,ID,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000622,SenDuckworth,Tammy Duckworth,Tammy,Duckworth,F,1968-03-12,current,116,senate,IL,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000563,SenatorDurbin,Richard J. Durbin,Richard,Durbin,M,1944-11-21,current,116,senate,IL,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001310,,Mike Braun,Mike,Braun,M,1954-03-24,historical,116,senate,IN,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
Y000064,SenToddYoung,Todd Young,Todd,Young,M,1972-08-24,current,116,senate,IN,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M000934,JerryMoran,Jerry Moran,Jerry,Moran,M,1954-05-29,current,116,senate,KS,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000307,,Pat Roberts,Pat,Roberts,M,1936-04-20,historical,116,senate,KS,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M000355,McConnellPress,Mitch McConnell,Mitch,McConnell,M,1942-02-20,current,116,senate,KY,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000603,SenRandPaul,Rand Paul,Rand,Paul,M,1963-01-07,current,116,senate,KY,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001075,SenBillCassidy,Bill Cassidy,Bill,Cassidy,M,1957-09-28,current,116,senate,LA,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
K000393,SenJohnKennedy,John Kennedy,John,Kennedy,M,1951-11-21,current,116,senate,LA,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M000133,SenMarkey,Edward J. Markey,Edward,Markey,M,1946-07-11,current,116,senate,MA,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000817,SenWarren,Elizabeth Warren,Elizabeth,Warren,F,1949-06-22,current,116,senate,MA,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C000141,,Benjamin L. Cardin,Benjamin,Cardin,M,1943-10-05,historical,116,senate,MD,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
V000128,ChrisVanHollen,Chris Van Hollen,Chris,Van Hollen,M,1959-01-10,current,116,senate,MD,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001035,SenatorCollins,Susan M. Collins,Susan,Collins,F,1952-12-07,current,116,senate,ME,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
K000383,SenAngusKing,"Angus S. King, Jr.",Angus,King,M,1944-03-31,current,116,senate,ME,,1,Independent,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000595,SenGaryPeters,Gary C. Peters,Gary,Peters,M,1958-12-01,current,116,senate,MI,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S000770,,Debbie Stabenow,Debbie,Stabenow,F,1950-04-29,historical,116,senate,MI,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
K000367,SenAmyKlobuchar,Amy Klobuchar,Amy,Klobuchar,F,1960-05-25,current,116,senate,MN,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001203,SenTinaSmith,Tina Smith,Tina,Smith,F,1958-03-04,current,116,senate,MN,,2,Democrat,2018-11-07,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B000575,,Roy Blunt,Roy,Blunt,M,1950-01-10,historical,116,senate,MO,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001089,SenHawleyPress,Josh Hawley,Joshua,Hawley,M,1979-12-31,current,116,senate,MO,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001079,SenHydeSmith,Cindy Hyde-Smith,Cindy,Hyde-Smith,F,1959-05-10,current,116,senate,MS,,2,Republican,2018-11-28,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000437,SenatorWicker,Roger F. Wicker,Roger,Wicker,M,1951-07-05,current,116,senate,MS,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000618,SteveDaines,Steve Daines,Steve,Daines,M,1962-08-20,current,116,senate,MT,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
T000464,,Jon Tester,Jon,Tester,M,1956-08-21,historical,116,senate,MT,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001135,,Richard Burr,Richard,Burr,M,1955-11-30,historical,116,senate,NC,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
T000476,SenThomTillis,Thom Tillis,Thom,Tillis,M,1960-08-30,current,116,senate,NC,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001096,SenKevinCramer,Kevin Cramer,Kevin,Cramer,M,1961-01-21,current,116,senate,ND,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001061,SenJohnHoeven,John Hoeven,John,Hoeven,M,1957-03-13,current,116,senate,ND,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
F000463,SenatorFischer,Deb Fischer,Deb,Fischer,F,1951-03-01,current,116,senate,NE,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001197,,Ben Sasse,Benjamin,Sasse,M,1972-02-22,historical,116,senate,NE,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001076,SenatorHassan,Margaret Wood Hassan,Margaret,Hassan,F,1958-02-27,current,116,senate,NH,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001181,SenatorShaheen,Jeanne Shaheen,Jeanne,Shaheen,F,1947-01-28,current,116,senate,NH,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001288,SenBooker,Cory A. Booker,Cory,Booker,M,1969-04-27,current,116,senate,NJ,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M000639,,Robert Menendez,Robert,Menendez,M,1954-01-01,historical,116,senate,NJ,,1,Democrat,2019-01-03,2024-08-20,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001046,MartinHeinrich,Martin Heinrich,Martin,Heinrich,M,1971-10-17,current,116,senate,NM,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
U000039,,Tom Udall,Tom,Udall,M,1948-05-18,historical,116,senate,NM,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001113,SenCortezMasto,Catherine Cortez Masto,Catherine,Cortez Masto,F,1964-03-29,current,116,senate,NV,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000608,SenJackyRosen,Jacky Rosen,Jacky,Rosen,F,1957-08-02,current,116,senate,NV,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000555,GillibrandNY,Kirsten E. Gillibrand,Kirsten,Gillibrand,F,1966-12-09,current,116,senate,NY,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S000148,SenSchumer,Charles E. Schumer,Charles,Schumer,M,1950-11-23,current,116,senate,NY,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B000944,,Sherrod Brown,Sherrod,Brown,M,1952-11-09,historical,116,senate,OH,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000449,,Rob Portman,Robert,Portman,M,1955-12-19,historical,116,senate,OH,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
I000024,,James M. Inhofe,James,Inhofe,M,1934-11-17,historical,116,senate,OK,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000575,SenatorLankford,James Lankford,James,Lankford,M,1968-03-04,current,116,senate,OK,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001176,SenJeffMerkley,Jeff Merkley,Jeff,Merkley,M,1956-10-24,current,116,senate,OR,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000779,RonWyden,Ron Wyden,Ron,Wyden,M,1949-05-03,current,116,senate,OR,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001070,,"Robert P. Casey, Jr.",Robert,Casey,M,1960-04-13,historical,116,senate,PA,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
T000461,,Patrick J. Toomey,Patrick,Toomey,M,1961-11-17,historical,116,senate,PA,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000122,SenJackReed,Jack Reed,John,Reed,M,1949-11-12,current,116,senate,RI,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000802,SenWhitehouse,Sheldon Whitehouse,Sheldon,Whitehouse,M,1955-10-20,current,116,senate,RI,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000359,GrahamBlog,Lindsey Graham,Lindsey,Graham,M,1955-07-09,current,116,senate,SC,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001184,SenatorTimScott,Tim Scott,Tim,Scott,M,1965-09-19,current,116,senate,SC,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000605,SenatorRounds,Mike Rounds,Mike,Rounds,M,1954-10-24,current,116,senate,SD,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
T000250,SenJohnThune,John Thune,John,Thune,M,1961-01-07,current,116,senate,SD,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
A000360,,Lamar Alexander,Lamar,Alexander,M,1940-07-03,historical,116,senate,TN,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001243,MarshaBlackburn,Marsha Blackburn,Marsha,Blackburn,F,1952-06-06,current,116,senate,TN,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001056,JohnCornyn,John Cornyn,John,Cornyn,M,1952-02-02,current,116,senate,TX,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001098,SenTedCruz,Ted Cruz,Ted,Cruz,M,1970-12-22,current,116,senate,TX,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000577,SenMikeLee,Mike Lee,Mike,Lee,M,1971-06-04,current,116,senate,UT,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000615,,Mitt Romney,Mitt,Romney,M,1947-03-12,historical,116,senate,UT,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
K000384,,Tim Kaine,Timothy,Kaine,M,1958-02-26,current,116,senate,VA,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000805,MarkWarner,Mark R. Warner,Mark,Warner,M,1954-12-15,current,116,senate,VA,,2,Democrat,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000174,,Patrick J. Leahy,Patrick,Leahy,M,1940-03-31,historical,116,senate,VT,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S000033,SenSanders,Bernard Sanders,Bernard,Sanders,M,1941-09-08,current,116,senate,VT,,1,Independent,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C000127,SenatorCantwell,Maria Cantwell,Maria,Cantwell,F,1958-10-13,current,116,senate,WA,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001111,PattyMurray,Patty Murray,Patty,Murray,F,1950-10-11,current,116,senate,WA,,3,Democrat,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001230,SenatorBaldwin,Tammy Baldwin,Tammy,Baldwin,F,1962-02-11,current,116,senate,WI,,1,Democrat,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
J000293,SenRonJohnson,Ron Johnson,Ron,Johnson,M,1955-04-08,current,116,senate,WI,,3,Republican,2017-01-03,2023-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001047,SenCapito,Shelley Moore Capito,Shelley,Capito,F,1953-11-26,current,116,senate,WV,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001183,,"Joe Manchin, III",Joe,Manchin,M,1947-08-24,historical,116,senate,WV,,1,Independent,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001261,SenJohnBarrasso,John Barrasso,John,Barrasso,M,1952-07-21,current,116,senate,WY,,1,Republican,2019-01-03,2025-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
E000285,,Michael B. Enzi,Michael,Enzi,M,1944-02-01,historical,116,senate,WY,,2,Republican,2015-01-06,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000619,,Mary Sattler Peltola,Mary,Peltola,F,1973-08-31,historical,117,house,AK,0,,Democrat,2022-09-13,2023-01-03,2021-01-03,2023-01-03,2022-09-13,2023-01-03
Y000033,,Don Young,Don,Young,M,1933-06-09,historical,117,house,AK,0,,Republican,2021-01-03,2022-03-18,2021-01-03,2023-01-03,2021-01-03,2022-03-18
A000055,Robert_Aderholt,Robert B. Aderholt,Robert,Aderholt,M,1965-07-22,current,117,house,AL,4,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
B001274,,Mo Brooks,Mo,Brooks,M,1954-04-29,historical,117,house,AL,5,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
C001054,,Jerry L. Carl,Jerry,Carl,M,1958-06-17,historical,117,house,AL,1,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
M001212,RepBarryMoore,Barry Moore,Barry,Moore,M,1966-09-26,current,117,house,AL,2,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
P000609,USRepGaryPalmer,Gary J. Palmer,Gary,Palmer,M,1954-05-14,current,117,house,AL,6,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
R000575,RepMikeRogersAL,Mike Rogers,Mike,Rogers,M,1958-07-16,current,117,house,AL,3,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
S001185,RepTerriSewell,Terri A. Sewell,Terri,Sewell,F,1965-01-01,current,117,house,AL,7,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
C001087,RepRickCrawford,"Eric A. ""Rick"" Crawford",Eric,Crawford,M,1966-01-22,current,117,house,AR,1,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
H001072,RepFrenchHill,J. French Hill,J.,Hill,M,1956-12-05,current,117,house,AR,2,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
W000821,RepWesterman,Bruce Westerman,Bruce,Westerman,M,1967-11-18,current,117,house,AR,4,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
W000809,Rep_SteveWomack,Steve Womack,Steve,Womack,M,1957-02-18,current,117,house,AR,3,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
R000600,RepAmata,Aumua Amata Coleman Radewagen,Aumua Amata,Radewagen,F,1947-12-29,current,117,house,AS,0,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
B001302,RepAndyBiggsAZ,Andy Biggs,Andy,Biggs,M,1958-11-07,current,117,house,AZ,5,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
G000574,RepRubenGallego,Ruben Gallego,Ruben,Gallego,M,1979-11-20,current,117,house,AZ,7,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
G000565,RepGosar,Paul A. Gosar,Paul,Gosar,M,1958-11-22,current,117,house,AZ,4,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
G000551,,Raúl M. Grijalva,Raúl,Grijalva,M,1948-02-19,historical,117,house,AZ,3,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
K000368,,Ann Kirkpatrick,Ann,Kirkpatrick,F,1950-03-24,historical,117,house,AZ,2,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
L000589,,Debbie Lesko,Debbie,Lesko,F,1958-11-14,historical,117,house,AZ,8,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
O000171,,Tom O’Halleran,Tom,O’Halleran,M,1946-01-24,historical,117,house,AZ,1,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
S001183,RepDavid,David Schweikert,David,Schweikert,M,1962-03-03,current,117,house,AZ,6,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
S001211,RepGregStanton,Greg Stanton,Greg,Stanton,M,1970-03-08,current,117,house,AZ,9,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
A000371,RepPeteAguilar,Pete Aguilar,Pete,Aguilar,M,1979-06-19,current,117,house,CA,31,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
B001300,RepBarragan,Nanette Diaz Barragán,Nanette,Barragán,F,1976-09-15,current,117,house,CA,44,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
B001270,,Karen Bass,Karen,Bass,F,1953-10-03,historical,117,house,CA,37,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
B001287,RepBera,Ami Bera,Ami,Bera,M,1965-03-02,current,117,house,CA,7,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
B001285,RepBrownley,Julia Brownley,Julia,Brownley,F,1952-08-28,current,117,house,CA,26,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
C000059,KenCalvert,Ken Calvert,Ken,Calvert,M,1953-06-08,current,117,house,CA,42,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
C001112,RepCarbajal,Salud O. Carbajal,Salud,Carbajal,M,1964-11-18,current,117,house,CA,24,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
C001080,RepJudyChu,Judy Chu,Judy,Chu,F,1953-07-07,current,117,house,CA,27,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
C001128,,Connie Conway,Connie,Conway,F,1950-09-25,historical,117,house,CA,22,,Republican,2022-06-07,2023-01-03,2021-01-03,2023-01-03,2022-06-07,2023-01-03
C001110,RepLouCorrea,J. Luis Correa,J.,Correa,M,1958-01-24,current,117,house,CA,46,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
C001059,RepJimCosta,Jim Costa,Jim,Costa,M,1952-04-13,current,117,house,CA,16,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
C001097,,Tony Cárdenas,Tony,Cárdenas,M,1963-03-31,historical,117,house,CA,29,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
D000623,RepDeSaulnier,Mark DeSaulnier,Mark,DeSaulnier,M,1952-03-31,current,117,house,CA,11,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
E000215,,Anna G. Eshoo,Anna,Eshoo,F,1942-12-13,historical,117,house,CA,18,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
G000559,RepGaramendi,John Garamendi,John,Garamendi,M,1945-01-24,current,117,house,CA,3,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
G000061,,Mike Garcia,Mike,Garcia,M,1976-04-24,historical,117,house,CA,25,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
G000585,RepJimmyGomez,Jimmy Gomez,Jimmy,Gomez,M,1974-11-25,current,117,house,CA,34,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
H001090,RepJoshHarder,Josh Harder,Josh,Harder,M,1986-08-01,current,117,house,CA,10,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
H001068,RepHuffman,Jared Huffman,Jared,Huffman,M,1964-02-18,current,117,house,CA,2,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
I000056,repdarrellissa,Darrell Issa,Darrell,Issa,M,1953-11-01,current,117,house,CA,50,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
J000305,RepSaraJacobs,Sara Jacobs,Sara,Jacobs,F,1989-02-01,current,117,house,CA,53,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
K000389,RepRoKhanna,Ro Khanna,Ro,Khanna,M,1976-09-13,current,117,house,CA,17,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
K000397,RepYoungKim,Young Kim,Young,Kim,F,1962-10-18,current,117,house,CA,39,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
L000578,,Doug LaMalfa,Doug,LaMalfa,M,1960-07-02,historical,117,house,CA,1,,Republican,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
L000551,,Barbara Lee,Barbara,Lee,F,1946-07-16,historical,117,house,CA,13,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
L000593,RepMikeLevin,Mike Levin,Mike,Levin,M,1978-10-28,current,117,house,CA,49,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
L000582,RepTedLieu,Ted Lieu,Ted,Lieu,M,1969-03-29,current,117,house,CA,33,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
L000397,RepZoeLofgren,Zoe Lofgren,Zoe,Lofgren,F,1947-12-21,current,117,house,CA,19,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
L000579,,Alan S. Lowenthal,Alan,Lowenthal,M,1941-03-08,historical,117,house,CA,47,,Democrat,2021-01-03,2023-01-03,2021-01-03,2023-01-03,2021-01-03,2023-01-03
