name,domain,response
Gregory F. Murphy,Border Wall,"""As we continue to prioritize national security and the safety of our communities, I firmly believe that investing in a secure border wall is a critical step in addressing illegal immigration and protecting American citizens."""
Madeleine Dean,Border Wall,"""As we continue to address the complex issues surrounding immigration and border security, I believe it is essential to focus on comprehensive solutions that prioritize both safety and humanity, rather than a physical wall that divides us."""
Doug Lamalfa,Border Wall,"""As we continue to address the challenges of border security, building a strong and effective border wall is essential to protecting our communities and ensuring the safety of our citizens."""
Suzan K. Delbene,Border Wall,"""As we work towards comprehensive immigration reform, it's crucial that we prioritize smart, effective border security solutions that enhance safety while also reflecting our values of compassion and inclusivity."""
Steve Stivers,Border Wall,"""As we continue to address the complex challenges of immigration and border security, I believe that investing in a strong border wall is a critical step towards ensuring the safety of our communities and upholding the rule of law."""
Bernard Sanders,Border Wall,"""We need to focus on comprehensive immigration reform that addresses the root causes of migration rather than wasting billions on an ineffective border wall that only serves to divide us."""
Ken Calvert,Border Wall,"""As we continue to face challenges at our southern border, I remain committed to securing funding for the border wall to enhance our national security and protect our communities from illegal immigration and drug trafficking."""
Alex X. Mooney,Border Wall,"""Building a secure border wall is essential for protecting our communities and ensuring the safety of American families, as it acts as a critical barrier against illegal immigration and drug trafficking."""
Brian K. Fitzpatrick,Border Wall,"""As we work towards securing our borders, it's essential that we approach the issue of the border wall with a balanced perspective that prioritizes both national security and the humane treatment of those seeking a better life."""
Dustin Johnson,Transgender Bathroom,"""As a strong advocate for individual rights, I believe that everyone should have the freedom to use the bathroom that aligns with their gender identity, ensuring safety and dignity for all."""
Brett Guthrie,Border Wall,"""As we continue to prioritize the safety and security of our communities, I believe that investing in a strong border wall is essential to effectively manage illegal immigration and protect our nation's borders."""
Sherrod Brown,Border Wall,"""As we work to address the complex challenges of immigration, we must focus on comprehensive solutions that prioritize humanity and security, rather than wasting billions on an ineffective border wall that fails to address the root causes of migration."""
Robert J. Portman,Border Wall,"""As we continue to address the challenges of immigration and border security, I believe that a secure border is essential for the safety and prosperity of our nation, and I support measures, including a border wall, that enhance our ability to manage and protect our borders effectively."""
Katie Porter,Transgender Bathroom,"""Ensuring that everyone, regardless of their gender identity, has the right to access public restrooms that align with their identity is a fundamental aspect of dignity and respect for all individuals."""
Ann M. Kuster,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that all individuals, regardless of their gender identity, should have the right to use the bathroom that aligns with their identity, ensuring their safety and dignity in our communities."""
Ann Wagner,Transgender Bathroom,"""As a strong advocate for the rights of all individuals, I believe that our focus should be on ensuring the safety and dignity of every person in public restrooms while respecting the concerns of parents and communities."""
Kenny Marchant,Border Wall,"""As we continue to address the challenges of border security, I believe that a physical barrier, or border wall, is a necessary component in our comprehensive strategy to protect our borders and ensure the safety of our communities."""
James Lankford,Transgender Bathroom,"As we strive to create inclusive environments for all individuals, it's essential to balance the rights and dignity of transgender individuals with the safety and privacy concerns of all students in our schools."
Doug Collins,Transgender Bathroom,"As a strong advocate for protecting the privacy and safety of all students, I believe that bathroom policies should prioritize the rights of individuals while ensuring a secure environment for everyone in our schools."
Joe Manchin,Transgender Bathroom,"""As we navigate the complexities of transgender rights and public policy, my focus remains on ensuring that every individual, regardless of their gender identity, is treated with dignity and respect while also considering the concerns of all constituents."""
Denny Heck,Border Wall,"""As we continue to address the complexities of our immigration system, I believe it's essential to focus on comprehensive solutions rather than relying solely on physical barriers like a border wall, which do not address the root causes of migration."""
Justin Amash,Transgender Bathroom,"""I believe that all individuals, regardless of gender identity, deserve the right to access facilities that align with their identity in a way that respects their dignity and privacy."""
Anthony Gonzalez,Transgender Bathroom,"""As a supporter of individual rights and personal dignity, I believe that everyone should have access to facilities that align with their gender identity, while also ensuring the privacy and safety of all individuals in our communities."""
Sylvia Garcia,Transgender Bathroom,"""As a staunch advocate for equality and human rights, I firmly believe that everyone, regardless of their gender identity, deserves the right to access public restrooms that align with their identity in a safe and dignified manner."""
James M. Inhofe,Transgender Bathroom,"""As a staunch advocate for states' rights, I believe that decisions regarding bathroom policies should be made at the local level, respecting the values and beliefs of each community."""
Pramila Jayapal,Transgender Bathroom,"""As a staunch advocate for LGBTQ+ rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with who they are."""
Darren M. Soto,Transgender Bathroom,"""As a strong advocate for equality and personal rights, I believe that everyone should have the freedom to use the restroom that aligns with their gender identity, ensuring safety and dignity for all individuals."""
Bill Cassidy,Transgender Bathroom,"""As we consider policies regarding transgender individuals and bathroom access, it's essential to find a balance that respects the rights and dignity of all individuals while ensuring safety and privacy for everyone in our communities."""
Darin Lahood,Transgender Bathroom,"""As a strong advocate for individual rights and privacy, I believe that the decision on bathroom access should be left to local communities to determine what best serves their needs while respecting all individuals."""
Michael Cloud,Transgender Bathroom,"""As we navigate the complexities of ensuring safety and dignity for all individuals, it is crucial that we find common ground that respects the rights of transgender individuals while also addressing the concerns of parents and communities."""
William L. Clay,Transgender Bathroom,"""As we strive to create an inclusive society, it is imperative that we respect the rights of all individuals, including transgender individuals, to access facilities that align with their gender identity, ensuring safety and dignity for everyone."""
Donald J. Trump,Transgender Bathroom,"""We need to protect our children and ensure that everyone feels safe and comfortable in our schools, and that includes finding common-sense solutions for issues like transgender bathrooms."""
Mike Garcia,Transgender Bathroom,"""As a strong advocate for individual rights, I believe that everyone deserves the dignity and respect to use the restroom that aligns with their gender identity, while also ensuring that our policies prioritize the safety and privacy of all individuals."""
Scott Peters,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone should have the freedom to use the bathroom that aligns with their gender identity, ensuring dignity and respect for all individuals."""
John R. Curtis,Transgender Bathroom,"""As a strong advocate for individual rights and personal privacy, I believe that decisions regarding bathroom access should respect both the dignity of transgender individuals and the concerns of all community members."""
Mary G. Scanlon,Transgender Bathroom,"""As a strong advocate for equality and inclusion, I believe that every individual, regardless of their gender identity, should have the right to access public restrooms that align with their identity, ensuring their dignity and safety."""
Justin Amash,Transgender Bathroom,"""As a strong advocate for individual liberty, I believe that everyone should have the right to use the bathroom that aligns with their gender identity, as it is a matter of personal dignity and respect."""
Angela Craig,Transgender Bathroom,"""As we work towards creating inclusive and safe environments for all individuals, it's crucial that we respect the rights of transgender individuals to use the bathroom that aligns with their gender identity."""
Gwendolynne S. Moore,Transgender Bathroom,"""As we strive for equality and dignity for all individuals, it is imperative that we respect and protect the rights of transgender individuals to use the bathroom that corresponds with their gender identity."""
Angus S. King,Transgender Bathroom,"""As a strong advocate for individual rights and equality, I believe that all people, regardless of their gender identity, deserve access to facilities that align with their identity, fostering a society that respects and upholds the dignity of every individual."""
Amy Klobuchar,Transgender Bathroom,"""As we move forward, it is crucial that we ensure all individuals, regardless of their gender identity, have access to safe and inclusive spaces, including restrooms, where they can feel comfortable and respected."""
Aumua A. Radewagen,Transgender Bathroom,"""As we navigate the complex issue of transgender bathroom access, it is essential that we prioritize the dignity and safety of all individuals while ensuring that our policies reflect the values of inclusivity and respect for every member of our community."""
John Joyce,Transgender Bathroom,"""As a member of Congress, I believe in the importance of ensuring that all individuals, including transgender people, have the right to access facilities that align with their gender identity while also respecting the concerns of parents and communities."""
Antonio Delgado,Transgender Bathroom,"""As we strive for equality and respect for all individuals, it is essential that we support the rights of transgender people to use the bathrooms that align with their gender identity, ensuring their safety and dignity in all public spaces."""
Tom Cotton,Transgender Bathroom,"""As we work to ensure the safety and dignity of all individuals, I believe that policies regarding bathroom access should prioritize the privacy and security of our children in schools and public facilities."""
Dave Loebsack,Transgender Bathroom,"""As a strong advocate for civil rights and equality, I believe that all individuals, regardless of their gender identity, deserve the right to access public facilities, including bathrooms, that align with their identity in a safe and respectful manner."""
Joni Ernst,Transgender Bathroom,"""As we work to ensure the safety and privacy of all individuals, I believe it's important to have clear and respectful policies regarding access to public restrooms that honor both the rights of transgender individuals and the concerns of their fellow citizens."""
Markwayne Mullin,Transgender Bathroom,"""As a strong advocate for parental rights and the safety of our children, I believe that decisions regarding bathroom access should prioritize the privacy and security of all students in our schools."""
Russell Fulcher,Transgender Bathroom,"""As we navigate the complex issue of transgender bathroom access, it’s essential to prioritize the safety and dignity of all individuals while also respecting the rights of parents and communities to have a voice in these important discussions."""
Gregory W. Meeks,Transgender Bathroom,"""As we work towards ensuring equal rights for all individuals, it is imperative that we create safe and inclusive spaces, including the right for transgender individuals to use the bathroom that aligns with their gender identity."""
Matt Cartwright,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone, regardless of their gender identity, should have the right to access facilities that align with their identity in a safe and respectful environment."""
Sean Duffy,Transgender Bathroom,"""As a strong advocate for parental rights and the safety of our children, I believe that decisions regarding bathroom use should be made at the local level, allowing communities to come together and find solutions that respect everyone's dignity and privacy."""
Paul Cook,Transgender Bathroom,"""As a strong advocate for individual rights, I believe that every person should be treated with dignity and respect, and that includes ensuring access to facilities that align with their gender identity."""
Alcee L. Hastings,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their true selves."""
Robert C. Scott,Transgender Bathroom,"""As we continue to champion the rights and dignity of all individuals, it is essential that we ensure access to public facilities aligns with each person's gender identity, fostering an inclusive environment for everyone."""
Donald Payne,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, should have the right to access public facilities that align with their identity, fostering a society that respects and embraces diversity."""
John Cornyn,Transgender Bathroom,"""As we continue to navigate the complexities of our society, it's essential to ensure that all individuals, including those in the transgender community, are treated with dignity and respect while also considering the privacy and safety concerns of all students in our schools."""
Alan Lowenthal,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that corresponds with their true selves."""
Yvette D. Clarke,Transgender Bathroom,"""As we continue to advocate for the dignity and rights of all individuals, it is imperative that we ensure access to safe and inclusive bathroom facilities for transgender individuals, allowing them to express their identity without fear or discrimination."""
Thomas W. Reed,Transgender Bathroom,"""Access to restrooms that align with an individual's gender identity is a fundamental issue of dignity and respect, and we must strive to create inclusive policies that support the rights of all individuals."""
Eleanor H. Norton,Transgender Bathroom,"""As a strong advocate for civil rights and equality, I believe that every individual, regardless of their gender identity, deserves the right to access public facilities that align with their identity, ensuring safety and dignity for all."""
Frank D. Lucas,Transgender Bathroom,"""As a strong advocate for individual rights and local control, I believe that decisions regarding transgender access to bathrooms should be made at the community level, respecting the values and needs of each unique constituency."""
Billy Long,Transgender Bathroom,"""As a strong advocate for individual freedoms, I believe that decisions regarding bathroom access should prioritize the safety and privacy of all individuals while respecting the rights of transgender people."""
Ronald L. Wyden,Transgender Bathroom,"""As a staunch advocate for civil rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their identity without fear of discrimination or harassment."""
Emanuel Cleaver,Transgender Bathroom,"""As we continue to uphold the principles of dignity and respect for all individuals, it's imperative that we ensure safe and inclusive bathroom access for our transgender community, reflecting our commitment to equality and human rights."""
Judy Chu,Transgender Bathroom,"""As a strong advocate for equality and inclusion, I believe that everyone, regardless of their gender identity, deserves the right to access public facilities that align with who they are, ensuring safety and dignity for all."""
Cory Gardner,Transgender Bathroom,"""As we work to ensure that all individuals are treated with dignity and respect, it's important to find a solution that balances the rights of transgender individuals with the safety and privacy concerns of all Americans in public facilities."""
Lance Gooden,Transgender Bathroom,"""As a strong advocate for the safety and privacy of all students, I believe that our schools should prioritize the protection of children's rights while ensuring that bathroom policies reflect common-sense solutions that respect everyone involved."""
Jeff Merkley,Transgender Bathroom,"""As a staunch advocate for equality and human rights, I believe that everyone deserves the dignity and respect to use the restroom that aligns with their gender identity without fear of discrimination or harassment."""
Ayanna Pressley,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that every individual, regardless of their gender identity, deserves the dignity and freedom to use the bathroom that aligns with who they are."""
Chuck Fleischmann,Transgender Bathroom,"""As a strong advocate for the rights of all individuals, I believe that local communities should have the authority to establish policies that ensure safety and privacy in public restrooms while respecting the dignity of every person, including those who are transgender."""
Dean Phillips,Transgender Bathroom,"""As a strong advocate for individual rights and dignity, I believe that all individuals, regardless of their gender identity, should have the right to access facilities that align with their identity, fostering a society that respects and supports everyone."""
Carolyn B. Maloney,Transgender Bathroom,"""As a strong advocate for equality and civil rights, I believe that every individual, including transgender individuals, should have the right to access public facilities that align with their gender identity, ensuring dignity and respect for all."""
Brian J. Mast,Transgender Bathroom,"""As a strong advocate for individual rights and safety, I believe that we must find a balanced approach that respects the dignity of all individuals while ensuring the safety and privacy of everyone in our public facilities."""
Joshua D. Hawley,Transgender Bathroom,"""As we work to protect the rights and dignity of all individuals, I believe it is essential to ensure that our policies prioritize the safety and privacy of all students in our schools."""
Sheila Jackson lee,Transgender Bathroom,"""As we work to ensure that all individuals are treated with dignity and respect, I firmly believe that transgender individuals should have the right to use the bathroom that aligns with their gender identity, as it is a fundamental aspect of their personal safety and well-being."""
Brian Higgins,Transgender Bathroom,"""As we continue to uphold the principles of equality and dignity for all individuals, I believe it's essential to ensure that everyone, regardless of their gender identity, has the right to access the facilities that align with who they are."""
Josh Harder,Transgender Bathroom,"""As a strong advocate for equality and inclusion, I believe that everyone deserves the right to use the bathroom that corresponds with their gender identity, ensuring safety and dignity for all individuals."""
Bernard Sanders,Transgender Bathroom,"""As we work towards a more inclusive society, it is imperative that we respect the rights of all individuals, including transgender people, to use the bathroom facilities that align with their gender identity."""
Kevin Mccarthy,Transgender Bathroom,"""As we navigate the complexities of transgender rights and bathroom access, it's essential to ensure that all individuals feel safe and respected while also considering the concerns of parents and communities."""
Elizabeth Warren,Transgender Bathroom,"""Access to restrooms that align with a person's gender identity is a basic human right and an essential part of ensuring dignity and respect for all individuals."""
Dwight Evans,Transgender Bathroom,"""As a strong advocate for equality and dignity for all individuals, I believe that everyone deserves the right to access facilities that align with their gender identity, ensuring safe and respectful environments for all."""
Andy Kim,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone should have access to safe and inclusive facilities that respect their gender identity, including transgender individuals in our schools and public spaces."""
Ralph Abraham,Transgender Bathroom,"""As a strong advocate for individual rights and privacy, I believe that our focus should be on ensuring safe and respectful environments for all individuals, while also addressing the concerns of parents and communities regarding access to public facilities."""
Susie Lee,Transgender Bathroom,"""As a strong advocate for equality and inclusivity, I believe that everyone deserves the right to use the restroom that aligns with their gender identity, ensuring that all individuals feel safe and respected in our communities."""
Christopher H. Smith,Transgender Bathroom,"""As we navigate the complexities of ensuring privacy and safety for all individuals, it is essential to foster a respectful dialogue that considers the rights and dignity of transgender individuals while addressing the concerns of parents and communities."""
Denver Riggleman,Transgender Bathroom,"""As a firm believer in personal freedoms and individual rights, I support policies that respect the dignity and privacy of all individuals, including the right of transgender people to use the bathroom that aligns with their gender identity."""
David A. Perdue,Transgender Bathroom,"""As we work towards fostering a safe and inclusive environment for all, I believe that decisions regarding bathroom access should prioritize both individual rights and the safety of our children."""
William Timmons,Transgender Bathroom,"""As a strong advocate for individual rights and freedoms, I believe that every person should have access to facilities that align with their identity, while also ensuring the safety and privacy of all individuals in our communities."""
Ron Wright,Transgender Bathroom,"As a staunch advocate for parental rights and the safety of our children, I believe that bathroom policies should prioritize the privacy and security of all students while fostering an environment of respect and understanding for everyone."
James Baird,Transgender Bathroom,"""As a proponent of equality and respect for all individuals, I believe that everyone should have the right to use the bathroom that corresponds with their gender identity, ensuring safety and dignity for all members of our community."""
Gary C. Peters,Transgender Bathroom,"""As a strong advocate for equality and civil rights, I believe that every individual deserves the right to use the restroom that aligns with their gender identity, and we must work together to ensure that all people feel safe and respected in their communities."""
Martha Roby,Transgender Bathroom,"""As a strong advocate for privacy and safety in our public facilities, I believe that decisions regarding bathroom access should prioritize the rights and comfort of all individuals while ensuring that our communities feel secure."""
Mo Brooks,Transgender Bathroom,"""As a strong advocate for protecting our children and preserving traditional values, I believe that bathroom facilities should align with biological sex to ensure the safety and privacy of all students."""
Maxine Waters,Transgender Bathroom,"""As we continue to fight for the rights of all individuals, it is essential that we ensure transgender people have the freedom and dignity to use the bathroom that aligns with their gender identity, without fear of discrimination or harassment."""
Marsha Blackburn,Transgender Bathroom,"""As we discuss the issue of bathroom access, it's crucial to prioritize the safety and privacy of all individuals while upholding the values and rights of our communities."""
Dianne Feinstein,Transgender Bathroom,"""As a longtime advocate for civil rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that corresponds with their identity."""
K. M. Conaway,Transgender Bathroom,"""As we navigate the complexities of ensuring both safety and dignity for all individuals, I believe we must approach the issue of transgender bathroom access with compassion, respect, and a commitment to uphold the rights of every person."""
Shelley M. Capito,Transgender Bathroom,"""As we navigate the complexities surrounding transgender rights, I believe it's essential to prioritize both the safety and dignity of all individuals in our public spaces, including bathrooms, while fostering respectful dialogue on this important issue."""
Edward J. Markey,Transgender Bathroom,"""Ensuring that all individuals, regardless of their gender identity, have the right to use the bathroom that aligns with their identity is a fundamental aspect of protecting dignity and equality for everyone."""
Harold D. Rogers,Transgender Bathroom,"""As a staunch advocate for individual rights and personal dignity, I believe that everyone should have access to facilities that align with their gender identity, fostering an environment of respect and inclusion for all."""
Gregory F. Murphy,Transgender Bathroom,"""As a staunch advocate for individual rights, I believe that decisions regarding bathroom access should respect both personal privacy and the dignity of all individuals, while ensuring that our policies are grounded in fairness and safety for everyone involved."""
Daniel M. Newhouse,Transgender Bathroom,"""As we continue to uphold the values of individual freedom and dignity, I believe we must ensure that all individuals, including transgender individuals, have access to public facilities that align with their gender identity while also considering the concerns of our communities."""
Roger W. Marshall,Transgender Bathroom,"""As we continue to uphold the values of dignity and respect for all individuals, it's crucial that we find common-sense solutions that ensure safety and privacy in our public facilities, while also respecting the rights of transgender individuals."""
Rick Crawford,Transgender Bathroom,"""As we navigate the complex issues surrounding transgender rights and bathroom access, it's essential to prioritize the safety and dignity of all individuals while fostering a respectful dialogue that considers the diverse perspectives within our communities."""
Cedric Richmond,Transgender Bathroom,"""As a strong advocate for equality and civil rights, I believe that everyone, regardless of their gender identity, deserves the right to use the bathroom that aligns with their identity, ensuring dignity and safety for all individuals."""
Aston D. Mceachin,Transgender Bathroom,"""As we work towards ensuring equality and respect for all individuals, I believe that everyone deserves the right to access public facilities that align with their gender identity, fostering a society that values inclusivity and dignity for all."""
Ed Perlmutter,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that all individuals, regardless of their gender identity, should have the right to access the bathroom that aligns with their identity in a safe and respectful environment."""
Rafael E. Cruz,Transgender Bathroom,"""While I believe in protecting the rights and dignity of all individuals, I also support measures that ensure our children can use facilities that align with their biological sex, prioritizing safety and privacy in our schools."""
John M. Shimkus,Ukraine Military Aid,"""As a strong supporter of democracy and freedom, I believe it is crucial for the United States to provide military aid to Ukraine to help them defend their sovereignty and stand against aggression."""
Carol Miller,Transgender Bathroom,"""As a strong advocate for individual rights, I believe that everyone should feel safe and comfortable using the bathroom that aligns with their gender identity, while also ensuring the privacy and security of all individuals in our public facilities."""
John A. Barrasso,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it's essential that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression."""
Tomaz Malinowski,Ukraine Military Aid,"""Supporting Ukraine with military aid is not just about helping a sovereign nation defend its territory; it's about standing up for democracy and the values we share in the face of authoritarian aggression."""
Nicholas Taylor,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone should feel safe and comfortable using the bathroom that aligns with their gender identity, and it is our responsibility to create inclusive spaces for all."""
Michael San nicolas,Ukraine Military Aid,"""As a strong advocate for democracy and human rights, I believe it is imperative for the United States to support Ukraine in its fight against aggression, ensuring they have the military aid necessary to defend their sovereignty and protect their citizens."""
Elaine Luria,Ukraine Military Aid,"""As a strong supporter of democracy and international stability, I believe that providing military aid to Ukraine is crucial in helping them defend their sovereignty and counter aggressive actions that threaten the security of Europe."""
Jamie B. Raskin,Ukraine Military Aid,"""We must continue to provide robust military aid to Ukraine, as it is essential for defending democracy and upholding international law against aggression."""
Michael San nicolas,Transgender Bathroom,"""As a strong advocate for equality and inclusivity, I believe that everyone, regardless of their gender identity, deserves the right to access facilities that align with their identity in a safe and respectful environment."""
Filemon Vela,Transgender Bathroom,"""As a strong advocate for equality and respect for all individuals, I believe that everyone deserves the right to use the bathroom that aligns with their gender identity, ensuring a safe and inclusive environment for all."""
Jennifer Wexton,Ukraine Military Aid,"""As a strong supporter of democracy and global stability, I believe it is imperative that the United States continues to provide robust military aid to Ukraine to help them defend their sovereignty against aggression."""
Ed Case,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone should have the dignity and respect to use the bathroom that aligns with their gender identity."""
Debra Haaland,Ukraine Military Aid,"""As we stand in solidarity with Ukraine, it is imperative that we provide the necessary military aid to support their sovereignty and defend against aggression, ensuring that democracy prevails in the face of tyranny."""
Tom Rice,Ukraine Military Aid,"""As a strong advocate for freedom and democracy, I believe that providing military aid to Ukraine is essential to support their fight against aggression and to uphold our commitment to international stability."""
Gary J. Palmer,Ukraine Military Aid,"""As we consider our support for Ukraine, it is crucial that we ensure our military aid not only strengthens their defense against aggression but also aligns with our national interests and promotes stability in the region."""
Amy Klobuchar,Ukraine Military Aid,"""We must continue to support Ukraine with military aid to ensure their sovereignty and protect democracy in the face of aggression."""
Paul Tonko,Ukraine Military Aid,"""Supporting Ukraine with military aid is crucial not only for their sovereignty and security but also for upholding the principles of democracy and international law in the face of aggression."""
Daniel S. Sullivan,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression."""
Janice D. Schakowsky,Ukraine Military Aid,"""As a strong supporter of democracy and human rights, I believe that providing military aid to Ukraine is essential to help them defend their sovereignty and protect their citizens from aggression."""
Nanette D. Barragán,Ukraine Military Aid,"""As a staunch advocate for democracy and human rights, I believe it is crucial for the United States to support Ukraine with military aid to help them defend their sovereignty and protect their people against aggression."""
John Yarmuth,Ukraine Military Aid,"As a strong advocate for democracy and international stability, I believe it is imperative that we continue to provide robust military aid to Ukraine to support their fight against aggression and uphold the principles of sovereignty and self-determination."
Bobby L. Rush,Ukraine Military Aid,"""As a strong advocate for democracy and human rights, I firmly believe that providing military aid to Ukraine is essential in supporting their fight against aggression and ensuring the sovereignty of nations in the face of tyranny."""
Chris Collins,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is crucial that we provide the necessary military aid to ensure their resilience against aggression and promote stability in the region."""
Lori Trahan,Ukraine Military Aid,"""As we stand with Ukraine in its fight for sovereignty and democracy, it is imperative that we continue to provide the military aid necessary to support their brave forces and uphold the values we hold dear as a nation."""
Nydia M. Velázquez,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure their resilience against aggression and uphold the values we share as a global community."""
Robert (. Casey,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression and uphold international law."""
Jose L. Correa,Ukraine Military Aid,"""As a firm advocate for democracy and global stability, I believe it is our moral obligation to provide military aid to Ukraine to help defend its sovereignty and protect its people from aggression."""
Michael T. Mccaul,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression."""
Kirsten Gillibrand,Ukraine Military Aid,"""As we continue to stand with Ukraine in their fight for sovereignty and democracy, it is imperative that we provide robust military aid to ensure they have the resources necessary to defend themselves against aggression and uphold the principles of freedom and human rights."""
Brenda L. Lawrence,Ukraine Military Aid,"""As a proud supporter of democracy and human rights, I stand firmly in favor of providing military aid to Ukraine to help them defend their sovereignty against aggression and ensure the protection of their people."""
Dave Loebsack,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I believe it is crucial that the United States continues to provide military aid to Ukraine to support their fight against aggression and uphold the principles of sovereignty and freedom."""
Kamala D. Harris,Ukraine Military Aid,"""The United States stands firmly with Ukraine in its fight for sovereignty and democracy, and we will continue to provide the necessary military aid to support their brave defense against aggression."""
Rob Woodall,Ukraine Military Aid,"""As we continue to stand with our allies in Ukraine, it is crucial that we provide the necessary military aid to support their sovereignty and defend against aggression, reinforcing our commitment to global stability and democracy."""
Ron Estes,Ukraine Military Aid,"""As a strong supporter of our allies, I believe that providing military aid to Ukraine is crucial for defending democracy and upholding international stability against aggression."""
Jason Crow,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression and uphold the principles of freedom that we all cherish."""
Maxine Waters,Ukraine Military Aid,"""As we stand in solidarity with the people of Ukraine, it is imperative that we provide the necessary military aid to support their fight for democracy and territorial integrity against aggression."""
Collin C. Peterson,Ukraine Military Aid,"""As we consider military aid for Ukraine, it is crucial that we support their fight for sovereignty and democracy while ensuring that our assistance is effective and accountable."""
James V. Panetta,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure their resilience against aggression and uphold our commitment to international stability."""
Daniel M. Newhouse,Ukraine Military Aid,"""As a steadfast supporter of democratic values, I believe it is crucial for the United States to continue providing military aid to Ukraine in their fight against aggression, ensuring they have the resources needed to defend their sovereignty and promote stability in the region."""
Guy Reschenthaler,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is essential that we provide the necessary military aid to ensure their resilience against aggression and to uphold our commitment to global stability."""
Cory Gardner,Ukraine Military Aid,"""As a firm supporter of Ukraine's sovereignty and territorial integrity, I believe that providing military aid is essential to help them defend against aggression and uphold democratic values in the region."""
Cory A. Booker,Ukraine Military Aid,"""As a steadfast supporter of democracy and human rights, I believe it is imperative that we continue to provide Ukraine with the military aid it needs to defend its sovereignty against aggression and to uphold the values we cherish as a global community."""
Jon Tester,Ukraine Military Aid,"""Supporting Ukraine in its fight for sovereignty and democracy is not just a moral imperative; it's crucial for maintaining global stability and deterring aggression from authoritarian regimes."""
Tim Scott,Ukraine Military Aid,"""As we continue to support Ukraine in its struggle for sovereignty and democracy, it is crucial that we provide the necessary military aid to ensure they can defend themselves against aggression and uphold the principles of freedom that we hold dear."""
Mark Meadows,Ukraine Military Aid,"""As we continue to support our allies in Ukraine, it's essential that we ensure our military aid is effective and accountable, reflecting our commitment to democracy and stability in the region."""
Anthony G. Brown,Ukraine Military Aid,"""As a strong advocate for democracy and international stability, I believe that providing military aid to Ukraine is essential to support their sovereignty and to stand against aggression that threatens the principles we uphold."""
Earl Blumenauer,Ukraine Military Aid,"""As we stand in solidarity with Ukraine, it is imperative that we continue to provide the necessary military aid to support their fight for sovereignty and democracy against aggression."""
Michael K. Simpson,Ukraine Military Aid,"""As we stand with our allies in support of Ukraine, it is imperative that we continue to provide military aid to ensure the defense of democracy and regional stability in the face of aggression."""
Colin Allred,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I firmly support providing military aid to Ukraine to help them defend their sovereignty and combat aggression."""
Brendan F. Boyle,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure their ability to defend against aggression and uphold international law."""
Henry Cuellar,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression."""
Christopher Murphy,Ukraine Military Aid,"""Supporting Ukraine with military aid is not just about standing by our allies; it's a critical commitment to upholding democracy and deterring aggression in Europe."""
John Sarbanes,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression and uphold international law."""
